,date,high_temp_actual,high_temp_historical_avg,high_temp_record,low_temp_actual,low_temp_historical_avg,low_temp_record,avg_temp_actual,avg_temp_historical_avg,avg_temp_record,precipitation_actual,precipitation_historical_avg,precipitation_record,dew_point_actual,dew_point_historical_avg,dew_point_record,high_dew_point_actual,high_dew_point_historical_avg,high_dew_point_record,low_dew_point_actual,low_dew_point_historical_avg,low_dew_point_record,avg_dew_point_actual,avg_dew_point_historical_avg,avg_dew_point_record,max_wind_speed_actual,max_wind_speed_historical_avg,max_wind_speed_record,visibility_actual,visibility_historical_avg,visibility_record,sea_pressure_actual,sea_pressure_historical_avg,sea_pressure_record
11,1991-5-12,90,84,105,0,60,36,73.5,72,-,0.00,0.09,-,60.08,-,-,68,-,-,0,-,-,60.08,-,-,23,-,-,25,-,-,28.18,-,-
12,1992-7-3,88,93,106,0,71,60,64.79,82,-,0.00,0.07,-,56.83,-,-,74,-,-,0,-,-,56.83,-,-,23,-,-,30,-,-,28.26,-,-
13,1990-3-9,79,66,94,0,42,19,62,54,-,0.00,0.06,-,53.48,-,-,62,-,-,0,-,-,53.48,-,-,22,-,-,30,-,-,28.2,-,-
14,1992-6-29,90,93,108,67,71,59,77.67,82,-,0.00,0.08,-,63.04,-,-,67,-,-,58,-,-,63.04,-,-,8,-,-,30,-,-,27.96,-,-
15,1999-6-10,92,90,102,70,68,52,81.1,79,-,0.00,0.14,-,64.63,-,-,66,-,-,62,-,-,64.63,-,-,18,-,-,10,-,-,28.09,-,-
16,2000-1-8,59,56,88,42,33,-3,46.63,44,-,0.00,0.03,-,40.53,-,-,43,-,-,34,-,-,40.53,-,-,15,-,-,10,-,-,28.32,-,-
17,2000-4-20,81,79,96,53,53,38,69.57,66,-,0.00,0.06,-,26.48,-,-,36,-,-,0,-,-,26.48,-,-,22,-,-,10,-,-,28.25,-,-
18,2000-5-8,100,83,102,73,59,39,86.04,71,-,0.00,0.09,-,58.67,-,-,68,-,-,46,-,-,58.67,-,-,26,-,-,10,-,-,27.95,-,-
19,2000-5-27,95,87,107,77,65,47,84.96,76,-,0.00,0.12,-,67.54,-,-,73,-,-,56,-,-,67.54,-,-,21,-,-,10,-,-,28.03,-,-
20,2000-5-5,87,82,104,66,58,41,76.15,70,-,0.00,0.09,-,65.42,-,-,68,-,-,64,-,-,65.42,-,-,28,-,-,10,-,-,28.05,-,-
21,2000-4-13,79,77,98,42,51,27,57.58,64,-,0.00,0.05,-,46.08,-,-,51,-,-,42,-,-,46.08,-,-,20,-,-,10,-,-,28.31,-,-
22,2000-4-27,86,80,96,69,55,36,74.86,68,-,0.00,0.07,-,54.67,-,-,58,-,-,49,-,-,54.67,-,-,25,-,-,10,-,-,28.13,-,-
23,2000-5-26,89,87,102,76,64,48,81.5,76,-,0.00,0.13,-,69.68,-,-,70,-,-,69,-,-,69.68,-,-,24,-,-,10,-,-,27.86,-,-
24,2000-5-22,97,86,104,64,63,43,82.3,75,-,0.00,0.12,-,57.07,-,-,67,-,-,50,-,-,57.07,-,-,21,-,-,10,-,-,28.14,-,-
25,2000-5-23,106,86,106,74,64,45,90.22,75,-,0.00,0.12,-,53.87,-,-,63,-,-,42,-,-,53.87,-,-,24,-,-,10,-,-,27.86,-,-
26,2000-8-8,98,95,107,78,73,57,88.17,84,-,0.00,0.08,-,61.46,-,-,67,-,-,51,-,-,61.46,-,-,21,-,-,10,-,-,28.17,-,-
27,2000-8-11,97,95,110,75,72,58,82.71,84,-,0.00,0.08,-,56.29,-,-,62,-,-,54,-,-,56.29,-,-,13,-,-,10,-,-,28.16,-,-
28,2000-9-1,102,91,106,78,69,57,90.71,80,-,0.00,0.08,-,52.67,-,-,61,-,-,46,-,-,52.67,-,-,17,-,-,10,-,-,28.06,-,-
29,2003-7-17,92,94,110,70,72,65,81.39,83,-,0.00,0.06,-,66.22,-,-,70,-,-,62,-,-,66.22,-,-,13,-,-,10,-,-,28.31,-,-
30,2003-3-3,54,65,90,39,41,11,45.13,53,-,0.00,0.05,-,40.47,-,-,45,-,-,36,-,-,40.47,-,-,20,-,-,10,-,-,28.15,-,-
31,2000-9-12,96,88,104,66,66,46,82.72,77,-,0.00,0.08,-,62.59,-,-,67,-,-,52,-,-,62.59,-,-,23,-,-,10,-,-,28.13,-,-
32,2000-11-29,55,61,82,39,37,14,46.83,49,-,0.00,0.04,-,26.96,-,-,41,-,-,0,-,-,26.96,-,-,13,-,-,10,-,-,28.52,-,-
33,2004-1-11,64,56,82,40,33,1,50.78,45,-,0.00,0.02,-,26.87,-,-,33,-,-,24,-,-,26.87,-,-,22,-,-,10,-,-,28.43,-,-
34,2001-1-11,43,56,82,32,33,1,37.9,45,-,0.00,0.02,-,35.8,-,-,40,-,-,0,-,-,35.8,-,-,12,-,-,10,-,-,28.29,-,-
35,2005-6-1,84,88,106,59,66,47,70.54,77,-,0.00,0.14,-,60.04,-,-,65,-,-,57,-,-,60.04,-,-,13,-,-,10,-,-,27.99,-,-
36,2001-7-22,101,95,106,81,72,64,91.22,84,-,0.00,0.05,-,56.26,-,-,61,-,-,54,-,-,56.26,-,-,16,-,-,10,-,-,27.97,-,-
37,2003-4-27,92,80,96,66,55,36,78.39,68,-,0.00,0.07,-,46.17,-,-,52,-,-,38,-,-,46.17,-,-,29,-,-,10,-,-,27.94,-,-
38,2004-4-26,71,80,96,53,55,37,59.65,68,-,0.00,0.07,-,53.06,-,-,55,-,-,49,-,-,53.06,-,-,25,-,-,10,-,-,28.44,-,-
39,2007-12-29,56,56,78,29,33,5,42.39,44,-,0.00,0.04,-,20.48,-,-,25,-,-,18,-,-,20.48,-,-,15,-,-,10,-,-,28.26,-,-
40,2006-1-12,79,56,82,47,33,-1,61.48,45,-,0.00,0.03,-,24.7,-,-,41,-,-,0,-,-,24.7,-,-,22,-,-,10,-,-,28.16,-,-
41,2008-8-8,97,95,107,74,73,57,85.09,84,-,0.00,0.08,-,61.17,-,-,64,-,-,56,-,-,61.17,-,-,17,-,-,10,-,-,28.09,-,-
42,2006-10-10,72,79,96,57,56,36,61.19,68,-,0.00,0.10,-,56.35,-,-,60,-,-,55,-,-,56.35,-,-,16,-,-,10,-,-,28.18,-,-
43,2008-4-22,94,79,97,66,54,33,77.88,66,-,0.00,0.06,-,57.8,-,-,65,-,-,38,-,-,57.8,-,-,18,-,-,10,-,-,27.99,-,-
44,2006-3-25,69,71,93,36,46,22,52.7,59,-,0.00,0.06,-,26.09,-,-,31,-,-,21,-,-,26.09,-,-,16,-,-,10,-,-,28.35,-,-
45,2008-3-26,85,72,91,60,47,19,71.48,59,-,0.00,0.05,-,52.48,-,-,57,-,-,46,-,-,52.48,-,-,25,-,-,10,-,-,28.05,-,-
46,2008-8-17,70,94,106,66,72,61,67.26,83,-,0.00,0.08,-,64.65,-,-,66,-,-,63,-,-,64.65,-,-,12,-,-,10,-,-,28.21,-,-
47,2006-1-8,75,56,88,41,33,-3,59.52,44,-,0.00,0.03,-,19.39,-,-,24,-,-,13,-,-,19.39,-,-,28,-,-,10,-,-,28.05,-,-
48,2008-8-20,83,94,106,66,72,57,70.89,83,-,0.00,0.09,-,65.36,-,-,67,-,-,62,-,-,65.36,-,-,14,-,-,10,-,-,28.1,-,-
