,util_practice_desc,domaincat_desc,state_alpha,region_desc,source_desc,group_desc,asd_desc,CV (%),year,week_ending,county_code,commodity_desc,congr_district_code,reference_period_desc,state_fips_code,country_code,domain_desc,load_time,begin_code,Value,state_name,county_name,freq_desc,unit_desc,asd_code,class_desc,country_name,state_ansi,end_code,agg_level_desc,watershed_desc,county_ansi,short_desc,statisticcat_desc,sector_desc,prodn_practice_desc,watershed_code,location_desc,zip_5
17,ALL UTILIZATION PRACTICES,NOT SPECIFIED,TX,,SURVEY,FIELD CROPS,EAST TEXAS NORTH,,1987,,037,RICE,,YEAR,48,9000,TOTAL,2012-01-01 00:00:00,00,"2,000",TEXAS,BOWIE,ANNUAL,ACRES,51,ALL CLASSES,UNITED STATES,48,00,COUNTY,,037,RICE - ACRES PLANTED,AREA PLANTED,CROPS,ALL PRODUCTION PRACTICES,00000000,"TEXAS, EAST TEXAS NORTH, BOWIE",
18,ALL UTILIZATION PRACTICES,NOT SPECIFIED,TX,,SURVEY,FIELD CROPS,EAST TEXAS NORTH,,1986,,037,RICE,,YEAR,48,9000,TOTAL,2012-01-01 00:00:00,00,"2,000",TEXAS,BOWIE,ANNUAL,ACRES,51,ALL CLASSES,UNITED STATES,48,00,COUNTY,,037,RICE - ACRES PLANTED,AREA PLANTED,CROPS,ALL PRODUCTION PRACTICES,00000000,"TEXAS, EAST TEXAS NORTH, BOWIE",
19,ALL UTILIZATION PRACTICES,NOT SPECIFIED,TX,,SURVEY,FIELD CROPS,EAST TEXAS NORTH,,1985,,037,RICE,,YEAR,48,9000,TOTAL,2012-01-01 00:00:00,00,"2,500",TEXAS,BOWIE,ANNUAL,ACRES,51,ALL CLASSES,UNITED STATES,48,00,COUNTY,,037,RICE - ACRES PLANTED,AREA PLANTED,CROPS,ALL PRODUCTION PRACTICES,00000000,"TEXAS, EAST TEXAS NORTH, BOWIE",
20,ALL UTILIZATION PRACTICES,NOT SPECIFIED,TX,,SURVEY,FIELD CROPS,EAST TEXAS NORTH,,1984,,037,RICE,,YEAR,48,9000,TOTAL,2012-01-01 00:00:00,00,"2,800",TEXAS,BOWIE,ANNUAL,ACRES,51,ALL CLASSES,UNITED STATES,48,00,COUNTY,,037,RICE - ACRES PLANTED,AREA PLANTED,CROPS,ALL PRODUCTION PRACTICES,00000000,"TEXAS, EAST TEXAS NORTH, BOWIE",
21,ALL UTILIZATION PRACTICES,NOT SPECIFIED,TX,,SURVEY,FIELD CROPS,EAST TEXAS NORTH,,1983,,037,RICE,,YEAR,48,9000,TOTAL,2012-01-01 00:00:00,00,"2,000",TEXAS,BOWIE,ANNUAL,ACRES,51,ALL CLASSES,UNITED STATES,48,00,COUNTY,,037,RICE - ACRES PLANTED,AREA PLANTED,CROPS,ALL PRODUCTION PRACTICES,00000000,"TEXAS, EAST TEXAS NORTH, BOWIE",
22,ALL UTILIZATION PRACTICES,NOT SPECIFIED,TX,,SURVEY,FIELD CROPS,EAST TEXAS NORTH,,1982,,037,RICE,,YEAR,48,9000,TOTAL,2012-01-01 00:00:00,00,"2,200",TEXAS,BOWIE,ANNUAL,ACRES,51,ALL CLASSES,UNITED STATES,48,00,COUNTY,,037,RICE - ACRES PLANTED,AREA PLANTED,CROPS,ALL PRODUCTION PRACTICES,00000000,"TEXAS, EAST TEXAS NORTH, BOWIE",
23,ALL UTILIZATION PRACTICES,NOT SPECIFIED,TX,,SURVEY,FIELD CROPS,EAST TEXAS NORTH,,1981,,037,RICE,,YEAR,48,9000,TOTAL,2012-01-01 00:00:00,00,"3,700",TEXAS,BOWIE,ANNUAL,ACRES,51,ALL CLASSES,UNITED STATES,48,00,COUNTY,,037,RICE - ACRES PLANTED,AREA PLANTED,CROPS,ALL PRODUCTION PRACTICES,00000000,"TEXAS, EAST TEXAS NORTH, BOWIE",
24,ALL UTILIZATION PRACTICES,NOT SPECIFIED,TX,,SURVEY,FIELD CROPS,EAST TEXAS NORTH,,1980,,037,RICE,,YEAR,48,9000,TOTAL,2012-01-01 00:00:00,00,"2,000",TEXAS,BOWIE,ANNUAL,ACRES,51,ALL CLASSES,UNITED STATES,48,00,COUNTY,,037,RICE - ACRES PLANTED,AREA PLANTED,CROPS,ALL PRODUCTION PRACTICES,00000000,"TEXAS, EAST TEXAS NORTH, BOWIE",
25,ALL UTILIZATION PRACTICES,NOT SPECIFIED,TX,,SURVEY,FIELD CROPS,EAST TEXAS NORTH,,1979,,037,RICE,,YEAR,48,9000,TOTAL,2012-01-01 00:00:00,00,"2,200",TEXAS,BOWIE,ANNUAL,ACRES,51,ALL CLASSES,UNITED STATES,48,00,COUNTY,,037,RICE - ACRES PLANTED,AREA PLANTED,CROPS,ALL PRODUCTION PRACTICES,00000000,"TEXAS, EAST TEXAS NORTH, BOWIE",
26,ALL UTILIZATION PRACTICES,NOT SPECIFIED,TX,,SURVEY,FIELD CROPS,EAST TEXAS NORTH,,1978,,037,RICE,,YEAR,48,9000,TOTAL,2012-01-01 00:00:00,00,"2,100",TEXAS,BOWIE,ANNUAL,ACRES,51,ALL CLASSES,UNITED STATES,48,00,COUNTY,,037,RICE - ACRES PLANTED,AREA PLANTED,CROPS,ALL PRODUCTION PRACTICES,00000000,"TEXAS, EAST TEXAS NORTH, BOWIE",
27,ALL UTILIZATION PRACTICES,NOT SPECIFIED,TX,,SURVEY,FIELD CROPS,EAST TEXAS NORTH,,1975,,037,RICE,,YEAR,48,9000,TOTAL,2012-01-01 00:00:00,00,"1,250",TEXAS,BOWIE,ANNUAL,ACRES,51,ALL CLASSES,UNITED STATES,48,00,COUNTY,,037,RICE - ACRES PLANTED,AREA PLANTED,CROPS,ALL PRODUCTION PRACTICES,00000000,"TEXAS, EAST TEXAS NORTH, BOWIE",
28,ALL UTILIZATION PRACTICES,NOT SPECIFIED,TX,,SURVEY,FIELD CROPS,EAST TEXAS NORTH,,2002,,223,RICE,,YEAR,48,9000,TOTAL,2012-01-01 00:00:00,00,"1,100",TEXAS,HOPKINS,ANNUAL,ACRES,51,ALL CLASSES,UNITED STATES,48,00,COUNTY,,223,RICE - ACRES PLANTED,AREA PLANTED,CROPS,ALL PRODUCTION PRACTICES,00000000,"TEXAS, EAST TEXAS NORTH, HOPKINS",
29,ALL UTILIZATION PRACTICES,NOT SPECIFIED,TX,,SURVEY,FIELD CROPS,EAST TEXAS NORTH,,2001,,223,RICE,,YEAR,48,9000,TOTAL,2012-01-01 00:00:00,00,"1,500",TEXAS,HOPKINS,ANNUAL,ACRES,51,ALL CLASSES,UNITED STATES,48,00,COUNTY,,223,RICE - ACRES PLANTED,AREA PLANTED,CROPS,ALL PRODUCTION PRACTICES,00000000,"TEXAS, EAST TEXAS NORTH, HOPKINS",
30,ALL UTILIZATION PRACTICES,NOT SPECIFIED,TX,,SURVEY,FIELD CROPS,EAST TEXAS NORTH,,1999,,223,RICE,,YEAR,48,9000,TOTAL,2012-01-01 00:00:00,00,"1,200",TEXAS,HOPKINS,ANNUAL,ACRES,51,ALL CLASSES,UNITED STATES,48,00,COUNTY,,223,RICE - ACRES PLANTED,AREA PLANTED,CROPS,ALL PRODUCTION PRACTICES,00000000,"TEXAS, EAST TEXAS NORTH, HOPKINS",
31,ALL UTILIZATION PRACTICES,NOT SPECIFIED,TX,,SURVEY,FIELD CROPS,EAST TEXAS NORTH,,1998,,223,RICE,,YEAR,48,9000,TOTAL,2012-01-01 00:00:00,00,"1,600",TEXAS,HOPKINS,ANNUAL,ACRES,51,ALL CLASSES,UNITED STATES,48,00,COUNTY,,223,RICE - ACRES PLANTED,AREA PLANTED,CROPS,ALL PRODUCTION PRACTICES,00000000,"TEXAS, EAST TEXAS NORTH, HOPKINS",
32,ALL UTILIZATION PRACTICES,NOT SPECIFIED,TX,,SURVEY,FIELD CROPS,EAST TEXAS NORTH,,1997,,223,RICE,,YEAR,48,9000,TOTAL,2012-01-01 00:00:00,00,"1,200",TEXAS,HOPKINS,ANNUAL,ACRES,51,ALL CLASSES,UNITED STATES,48,00,COUNTY,,223,RICE - ACRES PLANTED,AREA PLANTED,CROPS,ALL PRODUCTION PRACTICES,00000000,"TEXAS, EAST TEXAS NORTH, HOPKINS",
33,ALL UTILIZATION PRACTICES,NOT SPECIFIED,TX,,SURVEY,FIELD CROPS,EAST TEXAS NORTH,,1991,,223,RICE,,YEAR,48,9000,TOTAL,2012-01-01 00:00:00,00,"1,200",TEXAS,HOPKINS,ANNUAL,ACRES,51,ALL CLASSES,UNITED STATES,48,00,COUNTY,,223,RICE - ACRES PLANTED,AREA PLANTED,CROPS,ALL PRODUCTION PRACTICES,00000000,"TEXAS, EAST TEXAS NORTH, HOPKINS",
34,ALL UTILIZATION PRACTICES,NOT SPECIFIED,TX,,SURVEY,FIELD CROPS,EAST TEXAS NORTH,,1989,,223,RICE,,YEAR,48,9000,TOTAL,2012-01-01 00:00:00,00,"1,100",TEXAS,HOPKINS,ANNUAL,ACRES,51,ALL CLASSES,UNITED STATES,48,00,COUNTY,,223,RICE - ACRES PLANTED,AREA PLANTED,CROPS,ALL PRODUCTION PRACTICES,00000000,"TEXAS, EAST TEXAS NORTH, HOPKINS",
35,ALL UTILIZATION PRACTICES,NOT SPECIFIED,TX,,SURVEY,FIELD CROPS,EAST TEXAS NORTH,,1988,,223,RICE,,YEAR,48,9000,TOTAL,2012-01-01 00:00:00,00,"1,500",TEXAS,HOPKINS,ANNUAL,ACRES,51,ALL CLASSES,UNITED STATES,48,00,COUNTY,,223,RICE - ACRES PLANTED,AREA PLANTED,CROPS,ALL PRODUCTION PRACTICES,00000000,"TEXAS, EAST TEXAS NORTH, HOPKINS",
36,ALL UTILIZATION PRACTICES,NOT SPECIFIED,TX,,SURVEY,FIELD CROPS,EAST TEXAS NORTH,,1987,,223,RICE,,YEAR,48,9000,TOTAL,2012-01-01 00:00:00,00,"1,000",TEXAS,HOPKINS,ANNUAL,ACRES,51,ALL CLASSES,UNITED STATES,48,00,COUNTY,,223,RICE - ACRES PLANTED,AREA PLANTED,CROPS,ALL PRODUCTION PRACTICES,00000000,"TEXAS, EAST TEXAS NORTH, HOPKINS",
37,ALL UTILIZATION PRACTICES,NOT SPECIFIED,TX,,SURVEY,FIELD CROPS,EAST TEXAS NORTH,,1986,,223,RICE,,YEAR,48,9000,TOTAL,2012-01-01 00:00:00,00,"1,400",TEXAS,HOPKINS,ANNUAL,ACRES,51,ALL CLASSES,UNITED STATES,48,00,COUNTY,,223,RICE - ACRES PLANTED,AREA PLANTED,CROPS,ALL PRODUCTION PRACTICES,00000000,"TEXAS, EAST TEXAS NORTH, HOPKINS",
38,ALL UTILIZATION PRACTICES,NOT SPECIFIED,TX,,SURVEY,FIELD CROPS,EAST TEXAS NORTH,,1985,,223,RICE,,YEAR,48,9000,TOTAL,2012-01-01 00:00:00,00,"1,600",TEXAS,HOPKINS,ANNUAL,ACRES,51,ALL CLASSES,UNITED STATES,48,00,COUNTY,,223,RICE - ACRES PLANTED,AREA PLANTED,CROPS,ALL PRODUCTION PRACTICES,00000000,"TEXAS, EAST TEXAS NORTH, HOPKINS",
39,ALL UTILIZATION PRACTICES,NOT SPECIFIED,TX,,SURVEY,FIELD CROPS,EAST TEXAS NORTH,,1984,,223,RICE,,YEAR,48,9000,TOTAL,2012-01-01 00:00:00,00,"1,400",TEXAS,HOPKINS,ANNUAL,ACRES,51,ALL CLASSES,UNITED STATES,48,00,COUNTY,,223,RICE - ACRES PLANTED,AREA PLANTED,CROPS,ALL PRODUCTION PRACTICES,00000000,"TEXAS, EAST TEXAS NORTH, HOPKINS",
40,ALL UTILIZATION PRACTICES,NOT SPECIFIED,TX,,SURVEY,FIELD CROPS,EAST TEXAS NORTH,,1983,,223,RICE,,YEAR,48,9000,TOTAL,2012-01-01 00:00:00,00,"1,200",TEXAS,HOPKINS,ANNUAL,ACRES,51,ALL CLASSES,UNITED STATES,48,00,COUNTY,,223,RICE - ACRES PLANTED,AREA PLANTED,CROPS,ALL PRODUCTION PRACTICES,00000000,"TEXAS, EAST TEXAS NORTH, HOPKINS",
41,ALL UTILIZATION PRACTICES,NOT SPECIFIED,TX,,SURVEY,FIELD CROPS,EAST TEXAS NORTH,,2002,,387,RICE,,YEAR,48,9000,TOTAL,2012-01-01 00:00:00,00,"1,000",TEXAS,RED RIVER,ANNUAL,ACRES,51,ALL CLASSES,UNITED STATES,48,00,COUNTY,,387,RICE - ACRES PLANTED,AREA PLANTED,CROPS,ALL PRODUCTION PRACTICES,00000000,"TEXAS, EAST TEXAS NORTH, RED RIVER",
42,ALL UTILIZATION PRACTICES,NOT SPECIFIED,TX,,SURVEY,FIELD CROPS,EAST TEXAS NORTH,,2001,,387,RICE,,YEAR,48,9000,TOTAL,2012-01-01 00:00:00,00,"1,000",TEXAS,RED RIVER,ANNUAL,ACRES,51,ALL CLASSES,UNITED STATES,48,00,COUNTY,,387,RICE - ACRES PLANTED,AREA PLANTED,CROPS,ALL PRODUCTION PRACTICES,00000000,"TEXAS, EAST TEXAS NORTH, RED RIVER",
43,ALL UTILIZATION PRACTICES,NOT SPECIFIED,TX,,SURVEY,FIELD CROPS,EAST TEXAS NORTH,,1999,,387,RICE,,YEAR,48,9000,TOTAL,2012-01-01 00:00:00,00,"1,100",TEXAS,RED RIVER,ANNUAL,ACRES,51,ALL CLASSES,UNITED STATES,48,00,COUNTY,,387,RICE - ACRES PLANTED,AREA PLANTED,CROPS,ALL PRODUCTION PRACTICES,00000000,"TEXAS, EAST TEXAS NORTH, RED RIVER",
44,ALL UTILIZATION PRACTICES,NOT SPECIFIED,TX,,SURVEY,FIELD CROPS,EAST TEXAS NORTH,,2005,,998,RICE,,YEAR,48,9000,TOTAL,2012-01-01 00:00:00,00,600,TEXAS,OTHER (COMBINED) COUNTIES,ANNUAL,ACRES,51,ALL CLASSES,UNITED STATES,48,00,COUNTY,,,RICE - ACRES PLANTED,AREA PLANTED,CROPS,ALL PRODUCTION PRACTICES,00000000,"TEXAS, EAST TEXAS NORTH, OTHER (COMBINED) COUNTIES",
45,ALL UTILIZATION PRACTICES,NOT SPECIFIED,TX,,SURVEY,FIELD CROPS,EAST TEXAS NORTH,,2004,,998,RICE,,YEAR,48,9000,TOTAL,2012-01-01 00:00:00,00,700,TEXAS,OTHER (COMBINED) COUNTIES,ANNUAL,ACRES,51,ALL CLASSES,UNITED STATES,48,00,COUNTY,,,RICE - ACRES PLANTED,AREA PLANTED,CROPS,ALL PRODUCTION PRACTICES,00000000,"TEXAS, EAST TEXAS NORTH, OTHER (COMBINED) COUNTIES",
46,ALL UTILIZATION PRACTICES,NOT SPECIFIED,TX,,SURVEY,FIELD CROPS,EAST TEXAS NORTH,,2003,,998,RICE,,YEAR,48,9000,TOTAL,2012-01-01 00:00:00,00,"1,300",TEXAS,OTHER (COMBINED) COUNTIES,ANNUAL,ACRES,51,ALL CLASSES,UNITED STATES,48,00,COUNTY,,,RICE - ACRES PLANTED,AREA PLANTED,CROPS,ALL PRODUCTION PRACTICES,00000000,"TEXAS, EAST TEXAS NORTH, OTHER (COMBINED) COUNTIES",
47,ALL UTILIZATION PRACTICES,NOT SPECIFIED,TX,,SURVEY,FIELD CROPS,EAST TEXAS NORTH,,2000,,998,RICE,,YEAR,48,9000,TOTAL,2012-01-01 00:00:00,00,"1,800",TEXAS,OTHER (COMBINED) COUNTIES,ANNUAL,ACRES,51,ALL CLASSES,UNITED STATES,48,00,COUNTY,,,RICE - ACRES PLANTED,AREA PLANTED,CROPS,ALL PRODUCTION PRACTICES,00000000,"TEXAS, EAST TEXAS NORTH, OTHER (COMBINED) COUNTIES",
48,ALL UTILIZATION PRACTICES,NOT SPECIFIED,TX,,SURVEY,FIELD CROPS,EAST TEXAS NORTH,,1999,,998,RICE,,YEAR,48,9000,TOTAL,2012-01-01 00:00:00,00,200,TEXAS,OTHER (COMBINED) COUNTIES,ANNUAL,ACRES,51,ALL CLASSES,UNITED STATES,48,00,COUNTY,,,RICE - ACRES PLANTED,AREA PLANTED,CROPS,ALL PRODUCTION PRACTICES,00000000,"TEXAS, EAST TEXAS NORTH, OTHER (COMBINED) COUNTIES",
49,ALL UTILIZATION PRACTICES,NOT SPECIFIED,TX,,SURVEY,FIELD CROPS,EAST TEXAS NORTH,,1998,,998,RICE,,YEAR,48,9000,TOTAL,2012-01-01 00:00:00,00,"1,100",TEXAS,OTHER (COMBINED) COUNTIES,ANNUAL,ACRES,51,ALL CLASSES,UNITED STATES,48,00,COUNTY,,,RICE - ACRES PLANTED,AREA PLANTED,CROPS,ALL PRODUCTION PRACTICES,00000000,"TEXAS, EAST TEXAS NORTH, OTHER (COMBINED) COUNTIES",
50,ALL UTILIZATION PRACTICES,NOT SPECIFIED,TX,,SURVEY,FIELD CROPS,EAST TEXAS NORTH,,1997,,998,RICE,,YEAR,48,9000,TOTAL,2012-01-01 00:00:00,00,"1,300",TEXAS,OTHER (COMBINED) COUNTIES,ANNUAL,ACRES,51,ALL CLASSES,UNITED STATES,48,00,COUNTY,,,RICE - ACRES PLANTED,AREA PLANTED,CROPS,ALL PRODUCTION PRACTICES,00000000,"TEXAS, EAST TEXAS NORTH, OTHER (COMBINED) COUNTIES",
51,ALL UTILIZATION PRACTICES,NOT SPECIFIED,TX,,SURVEY,FIELD CROPS,EAST TEXAS NORTH,,1996,,998,RICE,,YEAR,48,9000,TOTAL,2012-01-01 00:00:00,00,"2,600",TEXAS,OTHER (COMBINED) COUNTIES,ANNUAL,ACRES,51,ALL CLASSES,UNITED STATES,48,00,COUNTY,,,RICE - ACRES PLANTED,AREA PLANTED,CROPS,ALL PRODUCTION PRACTICES,00000000,"TEXAS, EAST TEXAS NORTH, OTHER (COMBINED) COUNTIES",
52,ALL UTILIZATION PRACTICES,NOT SPECIFIED,TX,,SURVEY,FIELD CROPS,EAST TEXAS NORTH,,1995,,998,RICE,,YEAR,48,9000,TOTAL,2012-01-01 00:00:00,00,"1,300",TEXAS,OTHER (COMBINED) COUNTIES,ANNUAL,ACRES,51,ALL CLASSES,UNITED STATES,48,00,COUNTY,,,RICE - ACRES PLANTED,AREA PLANTED,CROPS,ALL PRODUCTION PRACTICES,00000000,"TEXAS, EAST TEXAS NORTH, OTHER (COMBINED) COUNTIES",
53,ALL UTILIZATION PRACTICES,NOT SPECIFIED,TX,,SURVEY,FIELD CROPS,EAST TEXAS NORTH,,1994,,998,RICE,,YEAR,48,9000,TOTAL,2012-01-01 00:00:00,00,"1,100",TEXAS,OTHER (COMBINED) COUNTIES,ANNUAL,ACRES,51,ALL CLASSES,UNITED STATES,48,00,COUNTY,,,RICE - ACRES PLANTED,AREA PLANTED,CROPS,ALL PRODUCTION PRACTICES,00000000,"TEXAS, EAST TEXAS NORTH, OTHER (COMBINED) COUNTIES",
